City X Y Item Weight(kg) Profit($)
0 15.5 60.2 A 4.5 90
1 35.2 42.7 B 2.8 70
2 50.1 20.3 C 5.0 120
3 20.0 70.8 D 3.3 60
4 60.4 15.5 E 6.2 150
5 80.6 35.2 F 4.0 95
6 65.3 58.1 G 3.1 75
7 28.5 78.0 H 2.9 85
8 18.6 25.3 I 4.7 110
9 70.4 65.9 J 3.5 98
10 12.8 22.5 K 5.3 130
11 33.9 35.8 L 4.4 105
12 41.5 78.3 M 6.0 160
13 52.8 41.6 N 3.7 95
14 25.3 64.7 O 5.1 145
15 37.5 51.2 P 2.6 55
16 71.2 20.8 Q 4.8 120
17 82.5 30.4 R 6.3 170
18 58.3 45.9 S 3.2 80
19 48.9 19.2 T 5.4 140
20 74.1 39.6 U 2.9 60
21 54.6 71.9 V 4.2 100
22 66.8 22.7 W 5.5 135
23 31.4 53.2 X 3.9 105
24 12.1 63.9 Y 4.1 115
25 42.0 46.8 Z 5.7 145
26 78.2 13.5 AA 6.4 180
27 19.8 52.1 AB 2.8 50
28 51.7 63.5 AC 4.9 130
29 61.5 28.7 AD 6.1 155
30 43.3 17.6 AE 3.0 65
31 64.8 48.5 AF 4.6 125
32 29.6 40.9 AG 5.9 160
33 49.5 36.3 AH 2.7 45
34 34.1 14.2 AI 6.5 185
35 22.7 55.4 AJ 3.8 85
36 75.4 18.6 AK 5.2 140
37 84.5 28.2 AL 4.3 95
38 15.7 48.7 AM 3.4 70
39 28.2 34.6 AN 5.0 120
40 38.6 21.9 AO 6.6 190
41 19.4 77.6 AP 2.6 40
42 63.5 12.3 AQ 4.7 110
43 53.9 61.7 AR 6.2 160
44 71.8 25.5 AS 5.6 150
45 85.0 37.4 AT 3.3 85
46 62.9 14.6 AU 4.9 125
47 27.1 55.7 AV 5.8 155
48 47.2 74.3 AW 2.5 35
49 39.7 22.8 AX 6.7 200
